,Algorithm,CoinName,FullName,FullyPremined,Id,ImageUrl,Name,PreMinedValue,ProofType,SortOrder,Sponsored,Symbol,TotalCoinSupply,TotalCoinsFreeFloat,Url
007,Scrypt,007 coin,007 coin (007),0,5294,/media/350595/007.png,007,N/A,PoW,263,False,007,989800,N/A,/coins/007/overview
1337,X13,1337,1337 (1337),0,20824,/media/350976/1337.png,1337,N/A,PoW/PoS,577,False,1337,314159265359,N/A,/coins/1337/overview
1CR,Scrypt,1Credit,1Credit (1CR),0,5406,/media/20175/1cr.png,1CR,N/A,PoW,374,False,1CR,92000000000,N/A,/coins/1cr/overview
1ST,N/A,FirstBlood,FirstBlood (1ST),1,28328,/media/351524/1st.png,1ST,N/A,N/A,759,False,1ST,93468691,N/A,/coins/1st/overview
2015,X11,2015 coin,2015 coin (2015),0,3744,/media/20180/2015.png,2015,N/A,PoW/PoS,33,False,2015,0,N/A,/coins/2015/overview
2BACCO,Scrypt,2BACCO Coin,2BACCO Coin (2BACCO),0,30912,/media/351869/2bacco.png,2BACCO,N/A,PoW/PoS,874,False,2BACCO,81454545,N/A,/coins/2bacco/overview
2GIVE,Scrypt,2GiveCoin,2GiveCoin (2GIVE),0,20910,/media/350986/2give.png,2GIVE,N/A,PoW/PoS,587,False,2GIVE,N/A,N/A,/coins/2give/overview
300,N/A,300 token,300 token (300),0,749869,/media/27010595/300.png,300,N/A,N/A,2212,False,300,300,N/A,/coins/300/overview
32BIT,X11,32Bitcoin,32Bitcoin (32BIT),0,30428,/media/351763/32bit.png,32BIT,N/A,PoW/PoS,863,False,32BIT,355000,N/A,/coins/32bit/overview
365,X11,365Coin,365Coin (365),0,33639,/media/352070/365.png,365,N/A,PoW/PoS,916,False,365,2300000000,N/A,/coins/365/overview
3DES,N/A,3DES,3DES (3DES),0,304693,/media/12318014/3des.png,3DES,N/A,N/A,1581,False,3DES,35000000,N/A,/coins/3des/overview
404,Scrypt,404Coin,404Coin (404),0,21227,/media/351001/404.png,404,N/A,PoW/PoS,602,False,404,532000000,N/A,/coins/404/overview
42,Scrypt,42 Coin,42 Coin (42),0,4321,/media/12318415/42.png,42,N/A,PoW/PoS,34,False,42,42,N/A,/coins/42/overview
611,SHA256,SixEleven,SixEleven (611),0,20909,/media/350985/611.png,611,N/A,PoW,586,False,611,611000,N/A,/coins/611/overview
808,SHA256,808,808 (808),0,28223,/media/351513/808.png,808,N/A,PoW/PoS,750,False,808,N/A,N/A,/coins/808/overview
888,N/A,Octocoin,Octocoin (888),0,29462,/media/351639/888.png,888,N/A,PoW,811,False,888,135776563,N/A,/coins/888/overview
8BIT,Scrypt,8BIT Coin,8BIT Coin (8BIT),0,5327,/media/20176/8bit.png,8BIT,N/A,PoW/PoS,295,False,8BIT,0,N/A,/coins/8bit/overview
8BT,N/A,8 Circuit Studios,8 Circuit Studios (8BT),0,177124,/media/1383698/8bt.png,8BT,N/A,N/A,1291,False,8BT,100000000,N/A,/coins/8bt/overview
8S,N/A,Elite 888,Elite 888 (8S),0,310852,/media/12318091/8s.png,8S,N/A,N/A,1601,False,8S,888,N/A,/coins/8s/overview
ABC,N/A,AB-Chain,AB-Chain (ABC),0,303943,/media/12318006/bac.png,ABC,N/A,N/A,1577,False,ABC,210000000,N/A,/coins/abc/overview
ABJ,Scrypt,Abjcoin,Abjcoin (ABJ),0,860230,/media/30002209/abj.png,ABJ,N/A,PoW/PoS,2616,False,ABJ,30000000,N/A,/coins/abj/overview
ABT,N/A,Advanced Browsing Token,Advanced Browsing Token (ABT*),0,394056,/media/14913683/abt.png,ABT*,N/A,N/A,1865,False,ABT,300000000,N/A,/coins/abtstar/overview
ABT*,N/A,ArcBlock,ArcBlock (ABT),1,758055,/media/27010666/abt2.png,ABT,N/A,N/A,2241,False,ABT*,186000000,N/A,/coins/abt/overview
ABY,Scrypt,ArtByte,ArtByte (ABY),0,5338,/media/1383379/aby.png,ABY,N/A,PoW,306,False,ABY,1000000000,N/A,/coins/aby/overview
ABYSS,N/A,The Abyss,The Abyss (ABYSS),0,419711,/media/30002251/abyss1.png,ABYSS,N/A,N/A,1911,False,ABYSS,905625000,N/A,/coins/abyss/overview
AC,Scrypt,Asia Coin,Asia Coin (AC),0,4322,/media/19593/ac.png,AC,N/A,PoS,35,False,AC,N/A,N/A,/coins/ac/overview
AC3,X11,AC3,AC3 (AC3),0,517389,/media/16746668/ac3.png,AC3,N/A,PoW,1974,False,AC3,100000000,N/A,/coins/ac3/overview
ACAT,N/A,Alphacat,Alphacat (ACAT),0,801364,/media/30001613/acat.jpg,ACAT,N/A,N/A,2435,False,ACAT,6250000000,N/A,/coins/acat/overview
ACC,Scrypt,AdCoin,AdCoin (ACC),0,249821,/media/9350776/acc.jpg,ACC,N/A,PoW,1542,False,ACC,100000000,N/A,/coins/acc/overview
ACC*,N/A,Accelerator Network,Accelerator Network (ACC*),0,716854,/media/27010467/acc.png,ACC*,N/A,N/A,2156,False,ACC*,336314,N/A,/coins/accstar/overview
ACCO,Scrypt,Accolade,Accolade (ACCO),0,619929,/media/20780654/acco.png,ACCO,N/A,PoW/PoS,2028,False,ACCO,50000000,N/A,/coins/acco/overview
ACE,N/A,TokenStars,TokenStars (ACE),0,294364,/media/11999076/ace.png,ACE,N/A,N/A,1565,False,ACE,N/A,N/A,/coins/ace/overview
ACES,X13,AcesCoin,AcesCoin (ACES),0,45617,/media/1382661/aces.png,ACES,N/A,PoS,1104,False,ACES,100000000,N/A,/coins/aces/overview
ACH,Equihash,AchieveCoin,AchieveCoin (ACH),0,850785,/media/30002098/ach.jpg,ACH,N/A,PoW,2579,False,ACH,N/A,N/A,/coins/ach/overview
ACID,SHA256,AcidCoin,AcidCoin (ACID),0,39700,/media/1382237/acid.png,ACID,N/A,PoW,1016,False,ACID,4500000000,N/A,/coins/acid/overview
ACN,PoS,AvonCoin,AvonCoin (ACN),0,35949,/media/352310/acn.png,ACN,N/A,PoS,976,False,ACN,1000000000,N/A,/coins/acn/overview
ACOIN,SHA256,ACoin,ACoin (ACOIN),0,4323,/media/20079/acoin.png,ACOIN,N/A,PoW,36,False,ACOIN,1600000,N/A,/coins/acoin/overview
ACP,SHA256,Anarchists Prime,Anarchists Prime (ACP),0,6476,/media/351019/acp.png,ACP,N/A,PoW,416,False,ACP,53760000,N/A,/coins/acp/overview
ACT,N/A,ACT,ACT (ACT),0,177157,/media/1383700/act.png,ACT,N/A,N/A,1293,False,ACT,10000000000,N/A,/coins/act/overview
ACT*,DPoS,Achain,Achain (ACT*),0,446372,/media/16746576/act.png,ACT*,N/A,DPoS,1942,False,ACT*,1000000000,N/A,/coins/actstar/overview
ACTN,N/A,Action Coin,Action Coin (ACTN),0,808094,/media/30001655/actn.jpg,ACTN,N/A,N/A,2441,False,ACTN,10000000000,N/A,/coins/actn/overview
ADA,Ouroboros,Cardano,Cardano (ADA),0,321992,/media/12318177/ada.png,ADA,N/A,PoS,1635,False,ADA,45000000000,N/A,/coins/ada/overview
ADB,N/A,Adbank,Adbank (ADB),0,468052,/media/16746619/adb.png,ADB,N/A,N/A,1959,False,ADB,1000000000,N/A,/coins/adb/overview
ADC,Scrypt,AudioCoin,AudioCoin (ADC),0,6108,/media/350880/adc.png,ADC,N/A,PoW/PoS,395,False,ADC,10500000000,N/A,/coins/adc/overview
ADCN,Scrypt,Asiadigicoin,Asiadigicoin (ADCN),0,20907,/media/350983/adcn.png,ADCN,N/A,PoW,584,False,ADCN,42000000,N/A,/coins/adcn/overview
ADH,N/A,Adhive,Adhive (ADH),0,866454,/media/30002279/adh.jpg,ADH,N/A,N/A,2652,False,ADH,392000000,N/A,/coins/adh/overview
ADK,IMesh,Aidos Kuneen,Aidos Kuneen (ADK),0,841767,/media/30001930/adk.jpg,ADK,N/A,PoW,2518,False,ADK,25000000,N/A,/coins/adk/overview
ADL,N/A,Adelphoi,Adelphoi (ADL),0,127738,/media/1383544/adl.png,ADL,N/A,N/A,1249,False,ADL,100000000,N/A,/coins/adl/overview
ADM,DPoS,Adamant,Adamant (ADM),0,833028,/media/30001860/adm.png,ADM,N/A,DPoS,2500,False,ADM,200000000,N/A,/coins/adm/overview
ADN,ScryptOG,Aiden,Aiden (ADN),1,21007,/media/350993/adn.png,ADN,N/A,PoW,594,False,ADN,84000000,N/A,/coins/adn/overview
ADST,N/A,Adshares,Adshares (ADST),0,194530,/media/1383846/adst.png,ADST,N/A,N/A,1383,False,ADST,12009726,N/A,/coins/adst/overview
ADT,N/A,AdToken,AdToken (ADT),0,188858,/media/1383829/adt.png,ADT,N/A,N/A,1374,False,ADT,1000000000,N/A,/coins/adt/overview
ADX,N/A,AdEx,AdEx (ADX),0,170452,/media/1383667/adx1.png,ADX,N/A,N/A,1277,False,ADX,100000000,N/A,/coins/adx/overview
ADZ,X11,Adzcoin,Adzcoin (ADZ),0,20656,/media/351424/adz1.jpg,ADZ,N/A,PoW,552,False,ADZ,84000000,N/A,/coins/adz/overview
AE,N/A,Aeternity,Aeternity (AE),0,190978,/media/1383836/ae.png,AE,N/A,PoW/PoS,1375,False,AE,273685831,N/A,/coins/ae/overview
AEC,X11,AcesCoin,AcesCoin (AEC),0,20986,/media/350991/aec.png,AEC,N/A,PoS,592,False,AEC,98000000,N/A,/coins/aec/overview
AEON,CryptoNight-Lite,AeonCoin,AeonCoin (AEON),0,20730,/media/350955/aeon.png,AEON,N/A,PoW,567,False,AEON,18400000,N/A,/coins/aeon/overview
AERM,SkunkHash,Aerium,Aerium (AERM),0,411647,/media/16404893/aerm.png,AERM,N/A,PoW/PoS,1899,False,AERM,500000000,N/A,/coins/aerm/overview
AERO,X13,Aero Coin,Aero Coin (AERO),0,4324,/media/19594/aero.png,AERO,N/A,PoS,37,False,AERO,7000000,N/A,/coins/aero/overview
AET,Ethash,AfterEther,AfterEther (AET),0,843275,/media/30001955/aet.jpg,AET,N/A,PoW,2524,False,AET,200000000,N/A,/coins/aet/overview
AGI,N/A,SingularityNET,SingularityNET (AGI),0,710156,/media/25792653/agi.png,AGI,N/A,N/A,2129,False,AGI,1000000000,N/A,/coins/agi/overview
AGRS,N/A,Agoras Token,Agoras Token (AGRS),0,191142,/media/1383839/agrs.png,AGRS,N/A,N/A,1378,False,AGRS,42000000,N/A,/coins/agrs/overview
AGS,X13,Aegis,Aegis (AGS),0,4326,/media/19595/ags.png,AGS,N/A,PoS,39,False,AGS,0,N/A,/coins/ags/overview
AHT,Ethash,Ahoolee,Ahoolee (AHT),0,175611,/media/1383688/ahc.png,AHT,N/A,PoW,1283,False,AHT,100000000,N/A,/coins/aht/overview
AHT*,N/A,Bowhead Health,Bowhead Health (AHT*),1,186064,/media/1383796/aht.png,AHT*,N/A,N/A,1351,False,AHT*,100000000,N/A,/coins/ahtstar/overview
AIB,Scrypt,AdvancedInternetBlock,AdvancedInternetBlock (AIB),0,20806,/media/350971/aib.png,AIB,N/A,PoW,571,False,AIB,314159265359,N/A,/coins/aib/overview
AIC,N/A,AI Crypto,AI Crypto (AIC),0,847135,/media/32655843/aic.png,AIC,N/A,N/A,2547,False,AIC,10000000000,N/A,/coins/aic/overview
AID,N/A,AidCoin,AidCoin (AID),0,368770,/media/14913433/aidcoin.png,AID,N/A,N/A,1780,False,AID,100000000,N/A,/coins/aid/overview
AIDOC,N/A,AI Doctor,AI Doctor (AIDOC),0,684818,/media/25792577/aidoc.png,AIDOC,N/A,N/A,2100,False,AIDOC,777775241,N/A,/coins/aidoc/overview
AION,N/A,Aion,Aion (AION),0,431235,/media/16746538/aion.png,AION,N/A,N/A,1925,False,AION,465934586.66,N/A,/coins/aion/overview
AIR,N/A,AirToken,AirToken (AIR),0,338555,/media/12318291/air.png,AIR,N/A,N/A,1684,False,AIR,1491492558,N/A,/coins/air/overview
AIR*,Scrypt,Aircoin,Aircoin (AIR*),0,30182,/media/351740/air.png,AIR*,N/A,PoW/PoS,846,False,AIR*,357000000,N/A,/coins/airstar/overview
AIT,N/A,AIChain Token,AIChain Token (AIT),0,777027,/media/27010829/ait.jpg,AIT,N/A,N/A,2321,False,AIT,2100000000,N/A,/coins/ait/overview
AIX,N/A,Aigang,Aigang (AIX),0,187030,/media/1383807/aig.png,AIX,N/A,N/A,1483,False,AIX,29274566.724462560143156861,N/A,/coins/aix/overview
AKA,Ethash,Akroma,Akroma (AKA),0,830940,/media/30001848/aka.jpg,AKA,N/A,PoW,2490,False,AKA,100000000,N/A,/coins/aka/overview
ALC,X13,Arab League Coin,Arab League Coin (ALC),0,33401,/media/352022/alc.png,ALC,N/A,PoW,908,False,ALC,N/A,N/A,/coins/alc/overview
ALEX,SHA256,Alexandrite,Alexandrite (ALEX),0,45607,/media/1382657/alex.png,ALEX,N/A,PoW/PoS,1100,False,ALEX,1268000,N/A,/coins/alex/overview
ALF,Scrypt,AlphaCoin,AlphaCoin (ALF),0,4325,/media/19600/alf.png,ALF,N/A,PoW,38,False,ALF,210182000,N/A,/coins/alf/overview
ALIS,N/A,ALISmedia,ALISmedia (ALIS),0,331603,/media/12318247/alis.png,ALIS,N/A,N/A,1660,False,ALIS,287604611.0864,N/A,/coins/alis/overview
ALN,Scrypt,AlienCoin,AlienCoin (ALN),0,4328,/media/20080/aln.png,ALN,N/A,PoW,41,False,ALN,200000000,N/A,/coins/aln/overview
ALPS,N/A,Alpenschillling,Alpenschillling (ALPS),0,859662,/media/30002172/alps.jpg,ALPS,N/A,PoW,2607,False,ALPS,300000000,N/A,/coins/alps/overview
ALQO,Quark,Alqo,Alqo (ALQO),0,402782,/media/16404849/alqo.png,ALQO,N/A,PoW/PoS,1878,False,ALQO,57879300,N/A,/coins/alqo/overview
ALT,SHA256,ALTcoin,ALTcoin (ALT),0,777330,/media/27010831/alt.jpg,ALT,N/A,N/A,2323,False,ALT,134063,N/A,/coins/alt/overview
ALTCOM,SkunkHash,AltCommunity Coin,AltCommunity Coin (ALTCOM),0,369110,/media/14913436/altcom.png,ALTCOM,N/A,PoW/PoS,1782,False,ALTCOM,163358.72760916,N/A,/coins/altcom/overview
ALTOCAR,N/A,AltoCar,AltoCar (ALTOCAR),0,240439,/media/9350746/altc.png,ALTOCAR,N/A,N/A,1522,False,ALTOCAR,N/A,N/A,/coins/altocar/overview
ALX,DPoS,ALAX,ALAX (ALX),1,787696,/media/27010915/alx.jpg,ALX,N/A,DPoS,2376,False,ALX,1000000000,N/A,/coins/alx/overview
AM,X13,AeroMe,AeroMe (AM),0,5330,/media/20191/am.png,AM,N/A,PoW/PoS,298,False,AM,12000000,N/A,/coins/am/overview
AMB,N/A,Ambrosus,Ambrosus (AMB),0,238733,/media/9350739/amb.png,AMB,N/A,N/A,1518,False,AMB,361477438,N/A,/coins/amb/overview
AMBER,X11,AmberCoin,AmberCoin (AMBER),0,5332,/media/20187/amber.png,AMBER,N/A,PoW/PoS,300,False,AMBER,1000000000,N/A,/coins/amber/overview
AMBT,N/A,AMBT Token,AMBT Token (AMBT),0,835125,/media/30001865/ambt.png,AMBT,N/A,N/A,2501,False,AMBT,104000000,N/A,/coins/ambt/overview
AMC,Scrypt,AmericanCoin,AmericanCoin (AMC),0,4327,/media/19601/amc.png,AMC,N/A,PoW,40,False,AMC,168000000,N/A,/coins/amc/overview
AMIS,N/A,AMIS,AMIS (AMIS),0,57676,/media/1382862/amis.png,AMIS,N/A,N/A,1147,False,AMIS,20000000,N/A,/coins/amis/overview
AMM,N/A,MicroMoney,MicroMoney (AMM),0,589881,/media/20780616/amm.png,AMM,N/A,N/A,2011,False,AMM,17532943.47918,N/A,/coins/amm/overview
AMMO,N/A,Ammo Rewards,Ammo Rewards (AMMO),0,182463,/media/1383778/ammo.png,AMMO,N/A,PoS,1336,False,AMMO,77777777,N/A,/coins/ammo/overview
AMN,N/A,Amon,Amon (AMN),0,890663,/media/33187898/rsz_m8svzqju_400x400.jpg,AMN,N/A,N/A,2754,False,AMN,1666666667 ,N/A,/coins/amn/overview
AMO,N/A,Amo Coin,Amo Coin (AMO),0,889900,/media/33187878/amo.jpg,AMO,N/A,N/A,2738,False,AMO,20000000000,N/A,/coins/amo/overview
AMP,N/A,Synereo,Synereo (AMP),0,18244,/media/350825/amp.png,AMP,N/A,Pow/PoSC,501,False,AMP,927786732.665189,N/A,/coins/amp/overview
AMS,Quark,Amsterdam Coin,Amsterdam Coin (AMS),0,15284,/media/350562/ams.png,AMS,N/A,PoW/PoS,480,False,AMS,N/A,N/A,/coins/ams/overview
AMT,N/A,Acumen,Acumen (AMT),0,243045,/media/9350756/amt.jpg,AMT,N/A,N/A,1529,False,AMT,N/A,N/A,/coins/amt/overview
AMY,Scrypt,Amygws,Amygws (AMY),0,59304,/media/1382935/amy.jpg,AMY,N/A,PoW,1154,False,AMY,23333333,N/A,/coins/amy/overview
ANAL,SHA256,AnalCoin,AnalCoin (ANAL),0,37359,/media/1381991/anal.jpg,ANAL,N/A,N/A,991,False,ANAL,600000,N/A,/coins/anal/overview
ANC,N/A,Anoncoin,Anoncoin (ANC),0,27370,/media/19598/anc.png,ANC,N/A,PoW,719,False,ANC,4200000,N/A,/coins/anc/overview
ANCP,N/A,Anacrypt,Anacrypt (ANCP),0,196572,/media/1383863/ancp.png,ANCP,N/A,N/A,1391,False,ANCP,10000,N/A,/coins/ancp/overview
AND,X11,AndromedaCoin,AndromedaCoin (AND),0,30568,/media/351797/and.png,AND,N/A,PoW/PoS,870,False,AND,N/A,N/A,/coins/and/overview
ANI,Quark,Animecoin,Animecoin (ANI),0,860930,/media/30002219/ani.png,ANI,N/A,PoW,2621,False,ANI,1976000000,N/A,/coins/ani/overview
ANK,N/A,Ankorus Token,Ankorus Token (ANK),0,781308,/media/27010873/ank.jpg,ANK,N/A,N/A,2353,False,ANK,50501621.1030904686494342,N/A,/coins/ank/overview
ANT,N/A,Aragon,Aragon (ANT),0,78152,/media/1383244/ant.png,ANT,N/A,N/A,1216,False,ANT,39609524,N/A,/coins/ant/overview
ANTC,Scrypt,AntiLitecoin,AntiLitecoin (ANTC),0,29758,/media/351690/antc.png,ANTC,N/A,PoW,822,False,ANTC,84000000,N/A,/coins/antc/overview
ANTI,SHA256,Anti Bitcoin,Anti Bitcoin (ANTI),0,20828,/media/350972/anti.png,ANTI,N/A,PoW,580,False,ANTI,42000000,N/A,/coins/anti/overview
APC,N/A,AlpaCoin,AlpaCoin (APC),0,20722,/media/350956/apc.png,APC,N/A,PoW,563,False,APC,N/A,N/A,/coins/apc/overview
APEX,X13,ApexCoin,ApexCoin (APEX),0,4330,/media/19599/apex.png,APEX,N/A,PoW/PoS,43,False,APEX,6000000,N/A,/coins/apex/overview
APH,N/A,Aphelion,Aphelion (APH),0,879031,/media/32655904/aph.jpg,APH,N/A,N/A,2699,False,APH,242817675,N/A,/coins/aph/overview
APPC,N/A,AppCoins,AppCoins (APPC),0,346812,/media/12318370/app.png,APPC,N/A,N/A,1726,False,APPC,246203093,N/A,/coins/appc/overview
APT,Scrypt-n,Aptcoin,Aptcoin (APT),0,60419,/media/1382945/apt.png,APT,N/A,PoW,1160,False,APT,42000000,N/A,/coins/apt/overview
APX,N/A,Apx,Apx (APX),0,74912,/media/1383235/apx.png,APX,N/A,N/A,1208,False,APX,1000000,N/A,/coins/apx/overview
AR*,SHA256,Ar.cash,Ar.cash (AR*),0,251598,/media/14913465/ar.png,AR*,N/A,PoW,1543,False,AR*,N/A,N/A,/coins/arstar/overview
ARB,N/A,Arbit Coin,Arbit Coin (ARB),0,7599,/media/20645/arb.png,ARB,N/A,PoW/PoS,435,False,ARB,0,N/A,/coins/arb/overview
ARBI,Ethash,Arbi,Arbi (ARBI),0,334856,/media/12318258/arbi.png,ARBI,N/A,N/A,1663,False,ARBI,50000,N/A,/coins/arbi/overview
ARC,X11,ArcticCoin,ArcticCoin (ARC),0,188615,/media/1383824/arc.png,ARC,N/A,PoW,1370,False,ARC,60000000,N/A,/coins/arc/overview
ARC*,N/A, Arcade City, Arcade City (ARC*),0,435659,/media/16746547/arc.png,ARC*,N/A,N/A,1930,False,ARC*,9525398,N/A,/coins/arcstar/overview
ARCH,Scrypt,ArchCoin,ArchCoin (ARCH),0,4331,/media/20085/arch.png,ARCH,N/A,PoS,44,False,ARCH,16403135,N/A,/coins/arch/overview
ARCO,Scrypt,AquariusCoin,AquariusCoin (ARCO),0,34506,/media/352134/arco.png,ARCO,N/A,PoW/PoS,943,False,ARCO,42000000,N/A,/coins/arco/overview
ARCT,N/A,ArbitrageCT,ArbitrageCT (ARCT),0,707530,/media/25792638/arct.png,ARCT,N/A,N/A,2121,False,ARCT,152029112,N/A,/coins/arct/overview
ARDR,N/A,Ardor,Ardor (ARDR),1,30173,/media/351736/ardr.png,ARDR,N/A,PoS,842,False,ARDR,1000000000,N/A,/coins/ardr/overview
ARENA,N/A,Arena,Arena (ARENA),0,201896,/media/12318225/arena.png,ARENA,N/A,N/A,1422,False,ARENA,14000000,N/A,/coins/arena/overview
ARG,Scrypt,Argentum,Argentum (ARG),0,4371,/media/19602/arg.png,ARG,N/A,PoW,45,False,ARG,64000000,N/A,/coins/arg/overview
ARGUS,Scrypt,ArgusCoin,ArgusCoin (ARGUS),0,70352,/media/1383149/argus.png,ARGUS,N/A,PoW/PoS,1194,False,ARGUS,28600000,N/A,/coins/argus/overview
ARI,Scrypt,AriCoin,AriCoin (ARI),0,4332,/media/20082/ari.png,ARI,N/A,PoW,46,False,ARI,322649400,N/A,/coins/ari/overview
ARI*,N/A,BeckSang,BeckSang (ARI*),0,235221,/media/9350704/ari.png,ARI*,N/A,N/A,1506,False,ARI*,5000000000,N/A,/coins/aristar/overview
ARK,DPoS,ARK,ARK (ARK),0,32699,/media/351931/ark.png,ARK,N/A,DPoS,885,False,ARK,125000000,N/A,/coins/ark/overview
ARM,Scrypt,Armory Coin,Armory Coin (ARM),0,28654,/media/351545/arm.png,ARM,N/A,PoW/PoS,768,False,ARM,1990000000,N/A,/coins/arm/overview
ARN,N/A,Aeron,Aeron (ARN),0,335127,/media/12318261/arn.png,ARN,N/A,N/A,1666,False,ARN,100000000,N/A,/coins/arn/overview
ARNA*,N/A,ARNA Panacea,ARNA Panacea (ARNA),0,303888,/media/12318005/arna.png,ARNA,N/A,N/A,1576,False,ARNA*,1000000000,N/A,/coins/arna/overview
ARPA,SHA256D,ArpaCoin,ArpaCoin (ARPA),0,60618,/media/1382966/arpa.png,ARPA,N/A,PoW/PoS,1162,False,ARPA,N/A,N/A,/coins/arpa/overview
ART,N/A,Maecenas,Maecenas (ART),0,311558,/media/12318097/art.png,ART,N/A,N/A,1605,False,ART,100000000,N/A,/coins/art/overview
ARTE,N/A,Artemine,Artemine (ARTE),0,860889,/media/30002216/arte.jpg,ARTE,N/A,N/A,2620,False,ARTE,598304.64852309844735,N/A,/coins/arte/overview
ARY,N/A,Block Array,Block Array (ARY),0,769416,/media/27010774/ary.png,ARY,N/A,N/A,2286,False,ARY,88409932.930609771417285772,N/A,/coins/ary/overview
ASAFE2,Scrypt,Allsafe,Allsafe (ASAFE2),0,38367,/media/1382096/allsafe.jpg,ASAFE2,N/A,PoS,1007,False,ASAFE2,15000000,N/A,/coins/asafe2/overview
ASN,QuBit,Ascension Coin,Ascension Coin (ASN),0,5356,/media/20192/asn.png,ASN,N/A,PoW/PoS,324,False,ASN,0,N/A,/coins/asn/overview
AST,N/A,AirSwap,AirSwap (AST),0,337162,/media/12318279/ast.png,AST,N/A,N/A,1673,False,AST,500000000,N/A,/coins/ast/overview
AST*,X13,Astral,Astral (AST*),0,38959,/media/1382170/ast.png,AST*,N/A,PoW/PoS,1011,False,AST*,37875500,N/A,/coins/aststar/overview
ASTRO,N/A,Astronaut,Astronaut (ASTRO),0,387875,/media/14913641/astro.png,ASTRO,N/A,N/A,1854,False,ASTRO,6999999,N/A,/coins/astro/overview
ATB,SHA256,ATB coin,ATB coin (ATB),0,175618,/media/1383689/atb.png,ATB,N/A,PoW,1284,False,ATB,N/A,N/A,/coins/atb/overview
ATCC,Scrypt,ATC Coin,ATC Coin (ATCC),0,339419,/media/12318294/atcc.png,ATCC,N/A,PoW,1686,False,ATCC,84000000,N/A,/coins/atcc/overview
ATFS,N/A,ATFS Project,ATFS Project (ATFS),0,375855,/media/14913545/atfs.png,ATFS,N/A,N/A,1820,False,ATFS,380000000,N/A,/coins/atfs/overview
ATKN,N/A,A-Token,A-Token (ATKN),0,310392,/media/12318083/atkn.png,ATKN,N/A,N/A,1594,False,ATKN,30000000,N/A,/coins/atkn/overview
ATL,N/A,ATLANT,ATLANT (ATL),0,235213,/media/9350703/atlant.png,ATL,N/A,N/A,1505,False,ATL,54175041,N/A,/coins/atl/overview
ATM,N/A,ATMChain,ATMChain (ATM),0,368694,/media/14913430/atm.png,ATM,N/A,N/A,1777,False,ATM,10000000000,N/A,/coins/atm/overview
ATM*,X11,Autumncoin,Autumncoin (ATM*),0,28023,/media/351492/atm.png,ATM*,N/A,PoW/PoS,729,False,ATM*,N/A,N/A,/coins/atmstar/overview
ATMOS,PoS,Atmos,Atmos (ATMOS),0,61902,/media/30002333/atmos.jpg,ATMOS,N/A,PoS,1172,False,ATMOS,110290030,N/A,/coins/atmos/overview
ATOM,Scrypt,Atomic Coin,Atomic Coin (ATOM),0,29721,/media/351685/atom.png,ATOM,N/A,PoW/PoS,820,False,ATOM,12000000,N/A,/coins/atom/overview
ATOM*,PoS,Cosmos,Cosmos (ATOM*),0,199107,/media/1383901/cosmos.jpg,ATOM*,N/A,N/A,1414,False,ATOM*,N/A,N/A,/coins/atomstar/overview
ATS,N/A,Authorship,Authorship (ATS),0,345017,/media/12318356/ats.png,ATS,N/A,N/A,1717,False,ATS,100000000,N/A,/coins/ats/overview
ATX,X11,ArtexCoin,ArtexCoin (ATX),0,33871,/media/352084/atx.png,ATX,N/A,PoW,920,False,ATX,500000000,N/A,/coins/atx/overview
AUA,N/A,ArubaCoin,ArubaCoin (AUA),0,659663,/media/20780743/aua.png,AUA,N/A,N/A,2055,False,AUA,18000000,N/A,/coins/aua/overview
AUC,N/A,Auctus,Auctus (AUC),0,792023,/media/27010954/untitled-1.png,AUC,N/A,N/A,2399,False,AUC,80000000,N/A,/coins/auc/overview
AUN,N/A,Authoreon,Authoreon (AUN),0,222200,/media/1384019/auth.png,AUN,N/A,N/A,1463,False,AUN,90000000,N/A,/coins/aun/overview
AUR,Scrypt,Aurora Coin,Aurora Coin (AUR),0,4333,/media/19608/aur.png,AUR,N/A,PoW/PoS,47,False,AUR,21000000,N/A,/coins/aur/overview
AURA,N/A,Aurora,Aurora (AURA),0,708404,/media/25792643/aura.png,AURA,N/A,N/A,2123,False,AURA,1000000000,N/A,/coins/aura/overview
AURS,Scrypt,Aureus,Aureus (AURS),1,341400,/media/12318345/aurs.png,AURS,N/A,N/A,1711,False,AURS,21000000,N/A,/coins/aurs/overview
AUT,N/A,Autoria,Autoria (AUT),0,206001,/media/1383956/aut.png,AUT,N/A,N/A,1437,False,AUT,N/A,N/A,/coins/aut/overview
AUTO,N/A,Cube,Cube (AUTO),0,815399,/media/30001729/untitled-1.png,AUTO,N/A,N/A,2472,False,AUTO,7200000000,N/A,/coins/auto/overview
AV,PoS,Avatar Coin,Avatar Coin (AV),0,38026,/media/1382048/av.png,AV,N/A,PoS,997,False,AV,10000000,N/A,/coins/av/overview
AVA,N/A,Avalon,Avalon (AVA),0,248300,/media/9350772/ava.png,AVA,N/A,N/A,1540,False,AVA,10000000,N/A,/coins/ava/overview
AVE,Avesta hash,Avesta,Avesta (AVE),0,362627,/media/14761937/ave.png,AVE,N/A,PoW,1765,False,AVE,200000000,N/A,/coins/ave/overview
AVL,N/A,Avalanche,Avalanche (AVL),0,863166,/media/30002245/avl.jpg,AVL,N/A,N/A,2635,False,AVL,1000000,N/A,/coins/avl/overview
